Player,Rk,Tm,VORPFit,Lwr,Upr,Notes
C.J. Wilcox,456,ORL,0.03,-1.63,1.69,
Duje Dukan,123,FA,0.02,-1.32,1.36,
Jimmer Fredette,144,FA,0.02,-1.87,1.91,
Marcus Thornton,427,WAS,0.02,-1.57,1.61,
Kris Humphries,211,ATL,0.01,-1.1,1.13,
Jorge Gutierrez,172,FA,0.01,-1.67,1.68,
Devyn Marble,277,FA,0.01,-1.65,1.67,
Jason Thompson,424,FA,0.01,-1.54,1.57,
Thanasis Antetokounmpo,20,FA,0.01,-1.34,1.35,
Damian Jones,NA,GSW,0.01,-0.44,0.4,
Luc Mbah a Moute,284,LAC,0.01,-1.55,1.57,
Dewayne Dedmon,110,SAS,0.01,-1.66,1.69,
Joel Anthony,22,FA,0.01,-1.64,1.65,
Isaiah Canaan,77,CHI,0,-1.67,1.68,
Ish Smith,401,DET,0,-1.72,1.72,
Jared Cunningham,103,FA,0,-1.74,1.74,
Anthony Bennett,45,BRK,-0.01,-1.69,1.67,
Darrun Hilliard,199,DET,-0.01,-1.35,1.33,
Amar'e Stoudemire,413,FA,-0.01,-1.08,1.07,
Keith Appling,23,FA,-0.01,-1.35,1.33,
Stephen Zimmerman,NA,ORL,-0.01,-1.49,1.67,
Noah Vonleh,440,POR,-0.01,-1.67,1.66,
Jerian Grant,164,CHI,-0.02,-1.36,1.32,
Aaron Brooks,62,IND,-0.02,-1.57,1.54,
Derrick Williams,459,MIA,-0.02,-1.91,1.87,
Demetrius Jackson,NA,BOS,-0.03,-0.98,0.89,
Dahntay Jones,237,CLE,-0.03,-1.15,1.09,
Jordan McRae,295,CLE,-0.03,-1.38,1.31,
Rakeem Christmas,86,IND,-0.03,-1.37,1.32,
Robert Sacre,386,FA,-0.03,-1.77,1.71,
Jahlil Okafor,337,PHI,-0.03,-1.38,1.31,
Jarell Eddie,128,FA,-0.03,-1.37,1.31,
Cory Jefferson,223,FA,-0.04,-1.7,1.62,
Elijah Millsap,305,FA,-0.04,-1.7,1.62,
Luis Montero,310,FA,-0.04,-1.38,1.3,
Ryan Kelly,248,FA,-0.05,-1.73,1.63,Stash
Emmanuel Mudiay,318,DEN,-0.05,-1.4,1.3,
Andrew Goudelock,162,FA,-0.05,-1.73,1.62,
Cameron Bairstow,30,FA,-0.05,-1.71,1.61,
Pablo Prigioni,365,HOU,-0.05,-1.83,1.73,
Archie Goodwin,158,PHO,-0.05,-1.73,1.63,
Jarrett Jack,219,FA,-0.06,-1.38,1.27,
Randy Foye,142,BRK,-0.06,-1.52,1.41,
Kostas Papanikolaou,342,FA,-0.06,-1.72,1.6,
Nate Robinson,376,FA,-0.06,-1.39,1.27,
Tony Wroten,470,FA,-0.06,-1.81,1.69,
Tyler Ennis,132,HOU,-0.06,-1.72,1.6,
Georges Niang,NA,IND,-0.06,-1.07,1.58,
Buddy Hield,NA,NOP,-0.06,-1.5,2.55,
Isaiah Whitehead,NA,BRK,-0.07,-1.01,1.16,
Donald Sloan,398,FA,-0.07,-1.95,1.82,
Orlando Johnson,232,FA,-0.07,-1.74,1.61,
Jake Layman,NA,POR,-0.07,-1.14,1.25,
Greivis Vasquez,437,BRK,-0.08,-1.8,1.64,
Kirk Hinrich,200,FA,-0.08,-1.34,1.18,
Tyler Hansbrough,175,FA,-0.08,-1.67,1.51,
Kris Dunn,NA,MIN,-0.08,-1.66,1.89,
Arron Afflalo,4,SAC,-0.08,-1.72,1.56,
Gerald Green,168,BOS,-0.09,-1.74,1.55,
Paul Zipser,NA,CHI,-0.09,-1.59,1.41,
James Jones,238,CLE,-0.09,-1.35,1.16,
Caron Butler,71,FA,-0.09,-1.16,0.99,
Josh Huestis,210,OKC,-0.09,-1.43,1.25,
Shabazz Napier,323,POR,-0.09,-1.75,1.57,
Terry Rozier,381,BOS,-0.1,-1.44,1.24,
Sean Kilpatrick,250,BRK,-0.1,-1.76,1.56,
James Anderson,15,FA,-0.1,-1.99,1.79,
Justin Harper,179,FA,-0.1,-1.76,1.56,
Jamal Crawford,100,LAC,-0.1,-1.58,1.39,
Brandon Ingram,NA,LAL,-0.1,-1.15,1.16,
Elton Brand,60,FA,-0.1,-1.71,1.51,
Marquese Chriss,NA,PHO,-0.1,-1.51,1.82,
Ben Bentil,NA,FA,-0.11,-0.87,0.49,
Pat Connaughton,94,POR,-0.11,-1.45,1.23,
Isaiah Cousins,NA,SAC,-0.11,-0.8,0.81,
Tony Snell,406,MIL,-0.12,-1.8,1.55,
Juan Hernangomez,NA,DEN,-0.12,-1.62,1.38,
Elliot Williams,460,FA,-0.12,-1.86,1.62,
Joseph Young,472,FA,-0.12,-1.46,1.22,
Georgios Papagiannis,NA,SAC,-0.12,-1.62,1.38,
Jaylen Brown,NA,BOS,-0.13,-2.24,2.76,
Jameer Nelson,325,DEN,-0.13,-1.25,0.99,
Michael Gbinije,NA,DET,-0.13,-1.13,0.6,
Marcus Paige,NA,FA,-0.13,-1.18,0.92,
Beno Udrih,434,FA,-0.13,-1.25,1,
Omer Asik,26,NOP,-0.13,-1.85,1.59,
Andre Miller,302,FA,-0.14,-1.76,1.49,
Carl Landry,255,FA,-0.14,-1.78,1.5,
Cleanthony Early,127,FA,-0.14,-1.8,1.52,
Rodney Stuckey,414,IND,-0.14,-1.78,1.5,
Diamond Stone,NA,LAC,-0.14,-0.95,0.83,
Hollis Thompson,423,PHI,-0.14,-1.81,1.54,
Caris LeVert,NA,BRK,-0.15,-1.81,1.79,
J.J. Barea,32,DAL,-0.15,-1.61,1.3,
Jamal Murray,NA,DEN,-0.15,-1.37,2.32,
Gerald Henderson Jr,190,PHI,-0.15,-1.74,1.44,
Alex Stepheson,411,FA,-0.16,-1.5,1.19,
Alan Anderson,14,LAC,-0.16,-1.76,1.44,
Tibor Pleiss,355,FA,-0.17,-1.52,1.17,
Metta World Peace,467,LAL,-0.17,-1.66,1.31,
Drew Gooden,157,FA,-0.18,-1.26,0.9,
Lamar Patterson,346,FA,-0.18,-1.53,1.16,
Dejounte Murray,NA,SAS,-0.18,-1.81,1.7,
Joel Bolomboy,NA,UTA,-0.18,-1.77,0.82,
Ramon Sessions,393,CHO,-0.19,-1.83,1.45,
Brandon Rush,384,MIN,-0.19,-1.75,1.37,
Nik Stauskas,409,PHI,-0.19,-1.85,1.47,
Mike Miller,303,DEN,-0.2,-1.69,1.29,
Ivica Zubac,NA,LAL,-0.2,-1.7,1.3,
