,Player,Rk,Tm,Fit,Lwr,Upr,Notes
404,Robert Covington,98,PHI,0.96,-0.72,2.63,
405,Jerami Grant,163,PHI,0.6,-1.06,2.26,
406,T.J. McConnell,288,PHI,0.5,-0.84,1.85,
407,Richaun Holmes,205,PHI,0.41,-0.93,1.75,
408,Timothe Luwawu,NA,PHI,0.28,-1.22,1.78,
409,Jerryd Bayless,39,PHI,0.18,-1.38,1.74,
410,Jahlil Okafor,337,PHI,-0.03,-1.38,1.31,
411,Elton Brand,60,FA,-0.1,-1.71,1.51,
412,Hollis Thompson,423,PHI,-0.14,-1.81,1.54,
413,Gerald Henderson Jr,190,PHI,-0.15,-1.74,1.44,
414,Nik Stauskas,409,PHI,-0.19,-1.85,1.47,
415,Eric Bledsoe,52,PHO,1.8,0.08,3.52,
416,P.J. Tucker,431,PHO,1.51,-0.39,3.4,
417,Brandon Knight,251,PHO,1.08,-0.81,2.97,
418,Jared Dudley,122,PHO,1.02,-0.62,2.66,
419,Dragan Bender,NA,PHO,0.56,-0.94,2.06,
420,T.J. Warren,447,PHO,0.45,-1.21,2.11,
421,Devin Booker,56,PHO,0.32,-1.03,1.66,
422,Tyson Chandler,85,PHO,0.27,-0.92,1.47,
423,Skal Labissiere,NA,PHO,0.21,-0.65,2.07,
424,Alan Williams,457,PHO,0.16,-1.18,1.51,
425,Alex Len,262,PHO,0.06,-1.61,1.74,
426,John Jenkins,225,PHO,0.05,-1.69,1.79,
427,Archie Goodwin,158,PHO,-0.05,-1.73,1.63,
428,Marquese Chriss,NA,PHO,-0.1,-1.51,1.82,
429,Leandro Barbosa,31,PHO,-0.2,-1.46,1.06,
430,Tyler Ulis,NA,PHO,-0.26,-1.47,0.24,
431,Damian Lillard,266,POR,5,2.63,7.37,
432,Mason Plumlee,356,POR,2.01,0.33,3.69,
433,Ed Davis,108,POR,1.85,0.13,3.57,
434,C.J. McCollum,287,POR,1.2,-0.48,2.87,
435,Al-Farouq Aminu,11,POR,1.04,-0.68,2.76,
436,Maurice Harkless,178,POR,0.94,-0.81,2.68,
437,Allen Crabbe,99,POR,0.75,-0.92,2.43,
438,Meyers Leonard,264,POR,0.49,-1.26,2.23,
439,Evan Turner,432,POR,0.41,-1.31,2.13,
440,Festus Ezeli,135,POR,0.33,-1.35,2,
441,Noah Vonleh,440,POR,-0.01,-1.67,1.66,
442,Luis Montero,310,FA,-0.04,-1.38,1.3,
443,Jake Layman,NA,POR,-0.07,-1.14,1.25,
444,Shabazz Napier,323,POR,-0.09,-1.75,1.57,
445,Pat Connaughton,94,POR,-0.11,-1.45,1.23,
446,DeMarcus Cousins,97,SAC,3.51,1,6.01,
